OCC_CODE,OCC_TITLE,occ_major_group,AIOE,AIOE_z,UAIOE,UAIOE_ev,AIOE_rank,UAIOE_rank,rank_diff,cluster,cluster_label
49-9045,"Refractory Materials Repairers, Except Brickmasons",Installation & Repair,-1.237463,-1.238263164333529,-1.2722196738602622,-1.0909052026230843,585,586,1,0,Low Exposure Manual & Technical
49-9051,Electrical Power-Line Installers and Repairers,Installation & Repair,-1.081398,-1.082097249222479,-1.3102161220490383,-1.508779890276126,544,595,51,0,Low Exposure Manual & Technical
49-9052,Telecommunications Line Installers and Repairers,Installation & Repair,-1.083883,-1.084583856078923,-0.8374421052096355,-1.0426835698765529,545,470,-75,0,Low Exposure Manual & Technical
49-9061,Camera and Photographic Equipment Repairers,Installation & Repair,0.0546422,0.0546775397176444,-0.4320889210861793,-0.04065186166310843,299,387,88,4,Low Exposure Routine Service
49-9062,Medical Equipment Repairers,Installation & Repair,-0.2768838,-0.2770628323908102,-0.6582970598241628,-0.7177912322639789,353,429,76,0,Low Exposure Manual & Technical
49-9063,Musical Instrument Repairers and Tuners,Installation & Repair,-0.5306271,-0.5309702084699934,-0.9987045344735807,-0.9237696509065697,400,516,116,0,Low Exposure Manual & Technical
49-9064,Watch and Clock Repairers,Installation & Repair,-0.2123996,-0.2125369354683486,-0.7365239681548682,-0.3556724991953219,341,447,106,4,Low Exposure Routine Service
49-9071,"Maintenance and Repair Workers, General",Installation & Repair,-1.014408,-1.0150639319938288,-0.8758822008869269,-1.2397991949651996,527,479,-48,0,Low Exposure Manual & Technical
49-9081,Wind Turbine Service Technicians,Installation & Repair,-0.9709935,-0.9716213592094848,-0.9394553120101409,-1.3503891378047637,514,497,-17,0,Low Exposure Manual & Technical
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",Installation & Repair,-0.7233995,-0.723867259404882,-1.2949042859409237,-0.7498425839945858,439,589,150,4,Low Exposure Routine Service
49-9092,Commercial Divers,Installation & Repair,-1.102728,-1.1034410416763838,-1.0236214854273527,-1.4573685773687024,550,521,-29,0,Low Exposure Manual & Technical
49-9094,Locksmiths and Safe Repairers,Installation & Repair,-0.8657498,-0.866309606284916,-0.5397628478337098,-0.9649066124929727,480,405,-75,0,Low Exposure Manual & Technical
49-9095,Manufactured Building and Mobile Home Installers,Installation & Repair,-1.414062,-1.414976357187124,-1.0203398864176398,-1.9996114210606404,608,520,-88,0,Low Exposure Manual & Technical
49-9096,Riggers,Installation & Repair,-1.221519,-1.2223088545873937,-1.2707600117234328,-1.265522416171419,580,585,5,0,Low Exposure Manual & Technical
49-9097,Signal and Track Switch Repairers,Installation & Repair,-0.858221,-0.8587759379948569,-1.3580246267159521,-1.2565777820358714,476,608,132,0,Low Exposure Manual & Technical
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",Installation & Repair,-1.346555,-1.3474257056547392,-1.3870220779085256,-1.369559443880399,598,615,17,0,Low Exposure Manual & Technical
49-9099,Geothermal Technicians,Installation & Repair,-0.5900791,-0.5904606514596589,-0.7212092481378,-1.0906692235381772,413,442,29,0,Low Exposure Manual & Technical
51-1011,First-Line Supervisors of Production and Operating Workers,Production,-0.0845282,-0.0845828509681011,0.1104360166901448,-0.26709308034648604,319,314,-5,1,Moderate Exposure Service & Healthcare
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production,-0.8684706,-0.8690321656149012,-0.8891940900410727,-1.0029672126303943,482,482,0,0,Low Exposure Manual & Technical
51-2021,"Coil Winders, Tapers, and Finishers",Production,-0.8289722,-0.8295082250681912,-0.9809987083118775,-0.5744827684108517,468,508,40,4,Low Exposure Routine Service
51-2031,Engine and Other Machine Assemblers,Production,-0.9561453,-0.9567635580320786,-1.2612810628615172,-1.0877270008318638,506,582,76,0,Low Exposure Manual & Technical
51-2041,Structural Metal Fabricators and Fitters,Production,-1.076307,-1.0770029572682909,-1.1255814359890954,-0.9447033318932866,542,553,11,0,Low Exposure Manual & Technical
51-3011,Bakers,Production,-0.3852989,-0.3855480360133778,-0.6992842119348551,-0.30607613215868706,372,434,62,4,Low Exposure Routine Service
51-3021,Butchers and Meat Cutters,Production,-0.9709924,-0.9716202584982,-0.8615883923667459,-0.9199762368590206,513,475,-38,0,Low Exposure Manual & Technical
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",Production,-1.10563,-1.106344918174332,-0.8553889169802386,-0.8537222584880293,551,474,-77,0,Low Exposure Manual & Technical
51-3023,Slaughterers and Meat Packers,Production,-1.834668,-1.8358543304110904,-1.4951626012644887,-0.7655081999190316,647,631,-16,4,Low Exposure Routine Service
