AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,PRIM_STATE,PCT_RPT,MAJOR_SOC,MAJOR_TITLE
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,1406870,0.8,,,,53.66,111620.0,0.7,30.88,39.63,51.69,65.54,79.13,64240.0,82430.0,107510.0,136320.0,164590.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1257,Web Developers and Digital Interface Designers,detailed,148340,1.4,,,,39.6,82370.0,3.3,19.01,25.73,35.46,49.47,68.31,39550.0,53520.0,73760.0,102900.0,142080.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,393160,0.9,,,,44.43,92410.0,0.5,21.05,30.1,42.57,56.38,70.4,43780.0,62620.0,88550.0,117260.0,146440.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-2011,Actuaries,detailed,22260,3.8,,,,58.16,120970.0,1.1,31.18,39.04,52.09,71.5,93.08,64860.0,81210.0,108350.0,148720.0,193600.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-2021,Mathematicians,detailed,2630,7.6,,,,51.57,107280.0,1.8,27.94,36.62,50.5,61.47,77.92,58100.0,76170.0,105030.0,127860.0,162060.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,detailed,99680,1.8,,,,43.56,90600.0,0.5,23.4,30.18,40.78,54.17,67.69,48670.0,62780.0,84810.0,112680.0,140790.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-2041,Statisticians,detailed,39090,2.2,,,,46.0,95680.0,0.8,25.33,32.92,43.83,57.11,70.56,52690.0,68480.0,91160.0,118790.0,146770.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,30810,3.1,,,,48.35,100560.0,1.0,25.34,33.7,45.33,60.16,75.99,52720.0,70090.0,94280.0,125140.0,158060.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-1011,"Architects, Except Landscape and Naval",detailed,105850,1.8,,,,43.06,89560.0,0.9,23.41,30.1,38.82,50.77,66.16,48700.0,62600.0,80750.0,105600.0,137620.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-1012,Landscape Architects,detailed,20280,4.5,,,,35.56,73970.0,1.1,20.35,26.25,33.35,43.31,53.98,42320.0,54600.0,69360.0,90090.0,112290.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-1021,Cartographers and Photogrammetrists,detailed,11300,2.6,,,,33.55,69790.0,0.8,20.03,25.17,31.47,40.89,49.7,41670.0,52340.0,65470.0,85050.0,103380.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-1022,Surveyors,detailed,45220,1.9,,,,32.66,67920.0,0.7,17.36,22.96,30.49,40.44,50.41,36110.0,47750.0,63420.0,84120.0,104850.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2011,Aerospace Engineers,detailed,63200,3.4,,,,57.32,119220.0,0.8,34.83,43.86,56.01,69.97,80.11,72450.0,91240.0,116500.0,145530.0,166620.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2021,Agricultural Engineers,detailed,1550,10.6,,,,47.26,98290.0,12.4,22.76,29.4,38.81,49.62,77.38,47330.0,61140.0,80720.0,103210.0,160950.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2031,Bioengineers and Biomedical Engineers,detailed,19780,4.9,,,,46.68,97090.0,1.1,26.58,34.13,43.95,56.74,71.26,55280.0,70990.0,91410.0,118020.0,148210.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2041,Chemical Engineers,detailed,30120,2.6,,,,56.29,117090.0,1.5,32.12,40.73,52.3,66.28,84.66,66810.0,84720.0,108770.0,137860.0,176090.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2051,Civil Engineers,detailed,310850,1.0,,,,45.36,94360.0,0.4,26.63,32.76,41.86,54.6,69.5,55380.0,68130.0,87060.0,113580.0,144560.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2061,Computer Hardware Engineers,detailed,67880,3.8,,,,59.15,123030.0,1.7,32.91,42.69,56.36,72.52,89.06,68460.0,88800.0,117220.0,150840.0,185240.0,,,2019,,,17,Architecture and Engineering Occupations
