OCC_CODE,OCC_TITLE_FELTEN,AIOE,AIOE_z
35-2015,"Cooks, Short Order",-0.5933817,-0.593765386994505
35-2021,Food Preparation Workers,-1.226416,-1.2272090210968534
35-3011,Bartenders,-0.6159883,-0.616386604926453
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",-0.5305266,-0.530869643484451
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",-0.4850956,-0.4854092667862156
35-3031,Waiters and Waitresses,-0.9481003,-0.9487133559555823
35-3041,"Food Servers, Nonrestaurant",-0.7270206,-0.7274907008889343
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,-1.927078,-1.9283240847788998
35-9021,Dishwashers,-1.738612,-1.7397362184583336
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",-0.0565477,-0.05658425815251316
37-1011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,-0.5854128,-0.5857913341259665
37-1012,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",-0.5548871,-0.5552458955272712
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.436201,-1.4371296727584792
37-2012,Maids and Housekeeping Cleaners,-1.480657,-1.4816144189999607
37-2021,Pest Control Workers,-0.7255374,-0.7260065418187218
37-3011,Landscaping and Groundskeeping Workers,-1.824293,-1.8254726217046082
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-0.8847935,-0.8853656203662302
37-3013,Tree Trimmers and Pruners,-1.727035,-1.728151732511833
39-1011,Gaming Supervisors,1.128203,1.1289325280837164
39-1012,Slot Key Persons,-0.1370162,-0.1371047908799891
39-1021,First-Line Supervisors/Managers of Personal Service Workers,0.4303075,0.4305857532822948
39-2011,Animal Trainers,-0.9167759,-0.9173687008996467
39-2021,Nonfarm Animal Caretakers,-0.8890408,-0.889615666765174
39-3011,Gaming Dealers,0.0605832,0.060622381300797286
39-3012,Gaming and Sports Book Writers and Runners,0.4652752,0.46557606417729797
39-3021,Motion Picture Projectionists,-0.3786598,-0.37890464302318927
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",-0.2420959,-0.24225243775849875
39-3091,Amusement and Recreation Attendants,-0.5246153,-0.5249545211059808
39-3092,Costume Attendants,-0.4533608,-0.45365394635648343
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",-0.3454376,-0.3456609608074309
39-4011,Embalmers,-0.7311451,-0.7316178678826581
39-4021,Funeral Attendants,-0.5445412,-0.5448933056374983
